country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6,41.7,42.5,42,41.3,41.1,42.1,41.7,42,41.5,41.7,41.6,,41.3,42.1,42.9
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,51,50,50,50,50,50,49
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,38,36.5,38.3,41,40.2,40.2,40.4,40.3,41.3,41.4,41.2,40.5,40.2,40.3,40,39.8,39.6,39.4,39.3,39.2,39.2,38.7,39,39
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,39.2,39.2,39.3,39.3,39.4,39.3,39.2,39.3
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8,,,32.7
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.2,,49.5,49.9,49.1,46.8,44.1,,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2,,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.9,45.6,45.3,44.3,44.2,,43.2
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4,,,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.9,42.1,41.3,41.7,42.1,42.3,42.2,42.1
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.3,43.2,42.9,42.8,43.2,41.9,39.1,41.9,41.7,41.3
