country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Hungary,,,,,,991M,1.13B,1.27B,1.43B,1.6B,1.82B,2.04B,2.32B,2.55B,2.87B,3.19B,3.59B,3.99B,4.58B,5.01B,5.02B,5.39B,5.9B,6.4B,7B,7.4B,7.55B,8.14B,8.23B,8.66B,9.19B,9.77B,10.5B,9.72B,9.85B,9.79B,10.1B,9.78B,9.98B,9.84B,9.79B,10.1B,10.4B,11.1B,11B,11.1B,11.4B,11.3B,11.5B
Indonesia,,,,,,,,,,,,931M,990M,1.06B,1.14B,1.26B,1.39B,1.56B,1.87B,2.31B,2.3B,2.81B,3.37B,4.1B,4.5B,4.91B,5.49B,6.21B,7.05B,7.12B,8.59B,10B,11.3B,12.8B,14.7B,18.1B,19.6B,22.7B,24.9B,26.9B,30.6B,33.4B,34B,35.8B,40.3B,41.2B,43.8B,47.3B,50.2B
India,,,,,,,,,,,,4.11B,4.31B,4.65B,5.17B,5.82B,6.34B,6.82B,7.58B,8.4B,9.25B,10.4B,12.1B,13.2B,15.5B,17.3B,19.3B,22.1B,24.6B,29.6B,32B,35.9B,39.7B,43.4B,47.9B,51.7B,55.3B,60.4B,65B,70.5B,75.6B,79.7B,83.4B,89.8B,95.7B,100B,111B,121B,125B
Ireland,974M,1.02B,1.15B,1.21B,1.32B,1.41B,1.5B,1.58B,1.79B,1.9B,2.13B,2.29B,2.45B,2.59B,2.71B,2.62B,2.85B,3.05B,3.28B,3.65B,3.6B,3.56B,3.61B,3.7B,3.76B,3.96B,4.07B,4.23B,4.21B,4.33B,4.14B,4.35B,4.61B,4.69B,4.83B,4.96B,5.22B,5.33B,5.51B,6.01B,6.38B,6.73B,6.58B,6.97B,7.35B,7.51B,8.08B,8.06B,8.53B
Iran,,,,,,,,,,,,983M,1.22B,1.42B,1.62B,2.03B,2.62B,3.24B,3.8B,4.7B,5.48B,5.81B,7.35B,8.86B,10.1B,11.3B,12.4B,13.7B,14B,15.8B,17.4B,19.1B,19.5B,22.1B,22.5B,23.4B,24B,26.5B,28.7B,29.8B,31.3B,32.9B,35B,38B,40.6B,44.2B,48.1B,50.8B,52.9B
Iraq,,,,,,,,,,,,1.46B,1.51B,1.84B,1.87B,2.18B,2.54B,2.36B,2.9B,3.76B,4.54B,4.8B,5.45B,7.07B,8.51B,9.17B,9.74B,10.3B,,,,,,,,,,,,,,,,,,,,,
Iceland,169M,185M,197M,214M,212M,235M,253M,248M,235M,241M,272M,298M,317M,355M,416M,473M,505M,531M,603M,643M,649M,677M,672M,539M,470M,452M,448M,527M,562M,564M,575M,517M,542M,559M,556M,559M,563M,578M,563M,581M,606M,608M,637M,612M,672M,690M,797M,827M,860M
Israel,,,,,,,,,,,,1.68B,1.96B,2.18B,2.17B,2.34B,2.51B,2.65B,2.85B,2.91B,2.99B,2.9B,3.22B,3.47B,3.32B,3.5B,3.6B,4.01B,4.84B,5.17B,5.32B,5.61B,6.88B,7.03B,7.7B,8.12B,8.64B,9.48B,10.2B,10.2B,11.6B,11.8B,12.7B,13.2B,13.5B,13.7B,14.3B,15.1B,15.2B
Italy,6.41B,7.06B,8.07B,9.43B,10.7B,12.2B,13.3B,14.5B,15.9B,17.6B,19.4B,23B,24.3B,26.3B,27.3B,27.7B,30B,31.7B,34.2B,36.4B,37.8B,38.9B,41.1B,41B,43.4B,44.5B,45.7B,48.1B,49.3B,51B,52.7B,54.7B,55.8B,56.4B,57B,57.3B,58B,58.5B,59.3B,60.7B,61.1B,61.6B,63B,65B,66.6B,67B,67.7B,67.2B,68.4B
Jamaica,,,,,,,,,,,,222M,283M,294M,298M,328M,346M,347M,351M,330M,318M,315M,329M,365M,368M,340M,367M,417M,406M,468M,525M,533M,536M,568M,618M,754M,782M,810M,848M,879M,892M,1.06B,1.1B,1.11B,1.08B,1.11B,1.1B,1.14B,1.03B
Jordan,,,,,,,,,,,,,,,,92M,116M,130M,150M,225M,300M,350M,450M,539M,604M,655M,701M,753M,821M,840M,874M,927M,1.07B,1.19B,1.32B,1.42B,1.56B,1.63B,1.78B,1.83B,1.98B,2.11B,2.5B,2.68B,2.94B,3.19B,3.65B,4.02B,4.46B
Japan,16.3B,19.2B,22.9B,26.9B,31.4B,35.9B,40.9B,47B,51.7B,63.3B,70.8B,62.5B,70.4B,79.2B,78.9B,88B,94.9B,102B,111B,116B,116B,121B,128B,137B,142B,148B,151B,160B,167B,177B,184B,192B,199B,204B,221B,230B,233B,237B,245B,252B,258B,257B,266B,262B,274B,283B,280B,291B,288B
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9B,7.93B,6.78B,6.06B,5.43B,5.41B,5.47B,4.77B,5.27B,5.34B,5.68B,5.85B,6.23B,6.71B,6.96B,7.43B
Kenya,,,,,,,,,,,,177M,192M,201M,212M,234M,235M,248M,270M,450M,458M,497M,512M,538M,572M,598M,594M,751M,735M,729M,780M,823M,877M,927M,977M,812M,847M,907M,957M,886M,800M,899M,981M,1.05B,1.12B,1.19B,1.33B,1.5B,1.5B
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,986M,960M,1.69B,2.55B,1.88B,1.91B,1.7B,1.58B,1.61B,1.94B,2.35B,1.81B,1.72B,2.42B,2.49B,2.95B,3.26B,2.81B,2.29B
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70M,122M,158M,185M,165M,213M,239M,263M,269M,327M,382M,473M,613M,742M
South Korea,,,,,,,,,,,,967M,1.16B,1.55B,1.7B,2.03B,2.39B,2.91B,3.91B,4.98B,5.32B,5.94B,6.6B,7.74B,8.76B,9.63B,10.3B,11.5B,13.2B,15.2B,17.7B,19.5B,21.8B,23.9B,26.6B,28.3B,30.6B,32.5B,32.9B,34.6B,37.1B,39.2B,42.3B,44.6B,48.6B,50.9B,52.5B,54.2B,56.2B
Kuwait,,,,,,,,,,,,1.69B,1.85B,2.04B,2.24B,2.47B,2.52B,2.9B,3.34B,4.19B,4.21B,4.95B,5.9B,6.15B,6.85B,7.65B,8.5B,8.5B,9B,9.5B,9.4B,6.41B,11.5B,11.8B,12.1B,12.3B,12.6B,12.9B,13.2B,13.4B,13.7B,14.6B,15.4B,15.9B,17.1B,19.2B,20B,20.4B,21.7B
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78B,1.97B,2.55B,3.67B,3.05B,2.92B,2.9B,2.99B,3.05B,3.3B,3.42B,3.37B,3.43B,3.31B,3.42B,3.63B
Libya,,,,,,,,,,,,204M,228M,460M,554M,731M,914M,1.14B,1.35B,1.67B,1.67B,1.67B,1.67B,1.67B,1.67B,1.67B,2.22B,2.78B,3.06B,3.06B,3.06B,3.14B,3.31B,3.42B,3.34B,3.29B,3.18B,4.17B,5.74B,5.67B,5.97B,6.71B,3.6B,3.74B,4.04B,7.08B,8.05B,7.08B,5.22B
Sri Lanka,,,,,,,,,,,,274M,227M,248M,254M,270M,294M,309M,351M,414M,477M,526M,613M,644M,748M,803M,827M,885M,553M,525M,658M,681M,704M,826M,831M,1.3B,1.28B,1.49B,1.66B,1.84B,2.06B,2.13B,2.16B,2.4B,2.6B,2.87B,3.06B,3.19B,3.31B
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76B,1.84B,1.8B,1.56B,1.54B,1.54B,1.61B,1.72B,1.74B,1.89B,1.77B,1.82B,1.81B,1.9B,2.07B,2.14B,2.35B,2.46B,2.71B
